code,rooms,usage
1,9,0
1,5,0
1,9,0
35,9,0
2,6,0
10,8,0
1,10,0
35,8,0
35,12,0
3,5,0
35,10,0
35,10,0
35,10,0
35,17,0
35,6,0
35,6,0
35,12,0
7,31,0
7,6,0
3,5,0
7,63,0
7,49,0
7,27,0
35,6,0
35,6,0
35,10,0
35,14,0
1,7,0
35,11,0
35,28,0
35,6,0
35,9,0
35,5,0
35,10,0
35,7,0
35,5,0
68,8,0
35,7,0
39,11,0
35,6,0
35,6,0
35,12,0
35,6,0
35,7,0
35,6,0
35,9,0
35,6,0
35,5,0
35,6,0
1,6,0
35,12,0
35,5,0
35,9,0
35,20,0
35,9,0
42,5,0
35,5,0
35,25,0
35,6,0
35,18,0
36,5,0
1,5,0
71,5,0
74,5,0
1,5,0
1,11,0
33,9,0
35,6,0
52,6,0
39,7,0
1,9,0
10,8,0
35,8,0
35,12,0
35,10,0
35,10,0
35,10,0
35,17,0
35,6,0
35,6,0
35,12,0
35,6,0
35,6,0
35,10,0
35,14,0
35,9,0
3,6,0
35,13,0
35,28,0
35,6,0
35,5,0
35,9,0
35,5,0
35,6,0
35,10,0
35,7,0
35,5,0
35,7,0
35,8,0
39,11,0
35,7,0
35,6,0
35,12,0
35,10,0
35,6,0
35,6,0
35,9,0
35,6,0
35,5,0
35,6,0
1,6,0
35,9,0
35,20,0
35,15,0
42,5,0
35,5,0
35,25,0
35,6,0
35,18,0
36,5,0
35,5,1
35,6,1
35,5,1
35,12,1
35,8,1
35,5,1
35,6,1
35,6,1
35,7,1
71,5,1
35,5,1
28,5,2
35,5,2
35,11,2
35,9,2
41,7,2
35,6,2
35,11,2
35,12,2
35,6,2
35,5,2
35,11,2
2,14,2
35,28,2
35,11,2
68,5,2
35,12,2
35,8,2
35,6,2
35,5,3
35,6,3
1,5,3
90,7,3
35,5,3
35,5,3
35,12,3
90,7,4
1,27,4
35,5,4
35,6,4
1,7,4
42,5,4
35,5,4
84,5,4
35,5,4
35,6,4
35,17,4
1,5,4
10,5,5
35,17,5
68,5,5
35,5,5
1,5,5
35,5,6
35,19,6
35,5,6
35,9,6
35,6,6
35,5,6
35,5,7
35,6,7
35,6,8
35,6,8
35,12,8
35,19,8
35,7,8
35,5,8
35,12,8
35,5,9
35,6,9
74,5,9
35,11,10
2,5,10
28,6,10
35,5,10
74,10,10
35,5,10
35,7,11
35,5,11
35,35,12
35,5,12
35,5,12
35,5,12
35,9,12
10,5,12
35,35,12
68,7,12
36,5,12
35,9,12
42,5,12
35,13,13
35,5,13
68,7,13
35,8,13
35,5,13
35,5,13
1,5,14
35,5,14
35,16,14
35,5,14
35,5,14
35,5,14
35,5,15
35,5,15
35,28,15
35,5,15
35,5,15
35,6,15
35,17,15
35,5,16
41,5,16
35,5,16
35,5,16
35,9,16
35,5,16
35,6,16
35,6,17
35,27,17
35,5,17
35,5,17
35,6,17
35,8,17
35,5,18
35,5,18
35,17,18
35,5,18
37,6,18
41,6,18
35,7,19
35,9,19
35,8,19
35,9,19
13,5,20
39,5,20
35,5,20
35,19,20
35,5,20
35,9,20
35,10,20
35,7,21
74,10,21
35,10,21
37,6,21
35,5,21
41,6,21
35,5,21
35,32,21
35,7,21
35,10,21
68,8,21
35,6,22
35,5,22
35,5,22
39,7,22
