code,room,usage
1,5,1
35,5,1
71,5,1
10,5,1
35,5,1
35,5,1
1,5,1
35,6,1
35,6,1
35,11,1
35,5,2
68,5,2
41,5,2
35,5,2
35,5,2
71,5,2
35,6,2
35,6,2
35,6,2
35,8,2
35,11,2
35,11,2
35,11,2
35,12,2
35,12,2
35,12,2
35,17,2
35,28,2
41,5,3
35,5,3
35,5,3
35,6,3
35,6,3
35,6,3
90,7,3
90,7,3
35,7,3
35,8,3
2,14,3
41,5,4
35,5,4
35,5,4
35,5,4
35,5,4
35,5,4
35,6,4
35,10,4
68,5,5
35,5,5
35,5,5
35,6,5
35,6,5
35,6,5
35,6,5
35,7,5
35,8,5
35,8,5
35,5,6
35,5,6
35,6,6
35,6,6
35,19,6
1,5,7
35,5,7
35,5,7
75,6,7
35,19,7
35,5,8
35,5,8
35,6,8
30,6,8
35,6,8
35,6,8
41,6,8
35,12,8
35,5,9
35,5,9
35,5,9
41,5,9
41,6,9
37,6,9
35,12,9
35,16,9
28,7,10
35,5,11
37,6,11
41,6,11
35,6,11
35,5,12
35,5,12
35,5,12
68,7,12
35,7,12
35,35,12
35,5,13
1,5,13
35,5,13
35,5,13
35,6,13
28,7,13
35,7,13
68,8,13
35,9,13
35,9,13
75,12,13
35,5,14
35,5,14
35,5,14
35,5,14
35,10,14
1,18,14
35,5,15
7,5,15
35,5,15
35,5,15
68,7,15
68,8,15
35,5,16
35,5,16
35,5,16
91,6,16
35,6,16
35,5,17
35,5,17
2,16,17
28,5,18
35,5,18
35,7,18
35,7,18
35,11,18
35,17,18
35,5,19
35,5,19
35,5,19
35,6,19
35,6,19
35,7,19
76,8,19
35,9,19
35,12,19
35,16,19
35,18,19
39,5,20
35,5,20
35,5,20
35,5,20
35,5,20
42,5,20
28,5,20
35,5,20
35,10,20
35,10,20
35,10,20
35,10,20
35,5,21
35,5,21
35,6,21
35,6,21
35,9,21
35,12,21
36,5,22
39,7,22
35,8,22
35,8,22
35,9,22
35,10,22
35,10,22
1,5,23
35,11,23
35,40,23
35,5,24
42,5,24
3,6,24
35,6,24
35,6,24
37,6,24
39,7,24
35,14,24
35,17,24
35,18,24
35,27,24
61,5,25
61,5,25
35,5,25
35,5,25
2,5,25
39,5,25
35,5,25
61,5,25
61,5,25
74,5,25
35,6,25
35,9,25
35,10,25
35,12,25
35,13,25
35,13,25
2,14,25
35,18,25
37,6,26
35,6,26
35,7,26
35,10,26
35,11,26
35,12,26
35,5,27
36,5,27
35,5,27
35,5,27
35,6,27
35,9,27
35,12,27
35,12,27
35,19,27
35,29,27
35,5,28
35,6,28
35,8,28
35,10,28
35,21,28
35,14,29
35,14,29
35,16,29
35,16,29
35,19,29
2,5,30
35,5,30
35,6,30
35,6,30
35,8,30
35,9,30
35,13,30
35,17,30
35,32,30
35,40,30
36,5,31
35,5,31
35,5,31
35,5,31
84,6,31
75,6,31
35,6,31
35,8,31
74,10,31
74,10,31
41,5,32
35,5,32
35,5,32
75,6,32
35,8,32
35,10,32
41,5,33
35,5,33
52,5,33
35,5,33
35,5,33
35,5,33
35,5,33
35,5,33
35,7,33
35,8,33
35,9,33
35,9,33
35,12,33
35,5,34
35,5,34
84,5,34
35,6,34
35,6,34
35,7,34
35,8,34
35,8,34
35,9,34
35,24,34
35,5,35
74,5,35
41,5,35
84,6,35
2,8,35
35,24,35
75,5,36
35,5,36
35,6,36
35,6,36
41,7,36
35,7,36
35,8,36
35,5,37
41,6,37
41,6,37
75,7,37
10,8,37
35,12,37
35,5,38
35,5,38
35,5,38
3,6,38
75,6,38
35,6,38
